         distance[pc] =    137.00000000000000     
  inclination[degree] =    37.500000000000000     
      number of lines =            7
      number of velos =          152

 line#01  OI         002->001 SYS=04  lam =   63.18367mic  nu =   4744.77749GHz
    line flux [W/m^2] =   4.07131679169109019E-017
    cont flux    [Jy] =    22.470086144629906     
 velo[km/s]      flux[Jy]     fconv[Jy]
 -3.717E+00  1.332099E+01  1.332099E+01
 -3.493E+00  1.330955E+01  1.330955E+01
 -3.270E+00  1.330046E+01  1.330046E+01
 -3.047E+00  1.329234E+01  1.329234E+01
 -2.825E+00  1.328736E+01  1.328736E+01
 -2.604E+00  1.328246E+01  1.328246E+01
 -2.383E+00  1.327934E+01  1.327934E+01
 -2.163E+00  1.327828E+01  1.327828E+01
 -1.944E+00  1.328436E+01  1.328436E+01
 -1.726E+00  1.331134E+01  1.331134E+01
 -1.508E+00  1.341660E+01  1.341660E+01
 -1.291E+00  1.376355E+01  1.376355E+01
 -1.074E+00  1.437206E+01  1.437206E+01
 -8.580E-01  1.463688E+01  1.463688E+01
 -6.426E-01  1.440407E+01  1.440407E+01
 -4.278E-01  1.420831E+01  1.420831E+01
 -2.136E-01  1.411855E+01  1.411855E+01
  0.000E+00  1.408008E+01  1.408008E+01
  2.136E-01  1.411855E+01  1.411855E+01
  4.278E-01  1.420831E+01  1.420831E+01
  6.426E-01  1.440407E+01  1.440407E+01
  8.580E-01  1.463688E+01  1.463688E+01
  1.074E+00  1.437206E+01  1.437206E+01
  1.291E+00  1.376355E+01  1.376355E+01
  1.508E+00  1.341660E+01  1.341660E+01
  1.726E+00  1.331134E+01  1.331134E+01
  1.944E+00  1.328436E+01  1.328436E+01
  2.163E+00  1.327828E+01  1.327828E+01
  2.383E+00  1.327934E+01  1.327934E+01
  2.604E+00  1.328246E+01  1.328246E+01
  2.825E+00  1.328736E+01  1.328736E+01
  3.047E+00  1.329234E+01  1.329234E+01
  3.270E+00  1.330046E+01  1.330046E+01
  3.493E+00  1.330955E+01  1.330955E+01
  3.717E+00  1.332099E+01  1.332099E+01
  3.942E+00  1.333277E+01  1.333277E+01
  4.168E+00  1.334398E+01  1.334398E+01
  4.395E+00  1.335740E+01  1.335740E+01
  4.622E+00  1.336792E+01  1.336792E+01
  4.850E+00  1.337483E+01  1.337483E+01
  5.079E+00  1.337748E+01  1.337748E+01
  5.309E+00  1.337563E+01  1.337563E+01
  5.540E+00  1.337013E+01  1.337013E+01
  5.772E+00  1.336347E+01  1.336347E+01
  6.005E+00  1.335500E+01  1.335500E+01
  6.239E+00  1.334404E+01  1.334404E+01
  6.473E+00  1.333304E+01  1.333304E+01
  6.709E+00  1.332319E+01  1.332319E+01
  6.946E+00  1.331242E+01  1.331242E+01
  7.184E+00  1.330015E+01  1.330015E+01
